Run,Accuracy,Precision,Recall,F1,Treinamento
1,0.99199998,0.96491230,0.96491230,0.96491230,0.16569988
2,0.99400002,0.98214287,0.96491230,0.97345138,0.16021630
3,0.99400002,0.98214287,0.96491230,0.97345138,0.16056018
4,0.99400002,0.98214287,0.96491230,0.97345138,0.15896499
5,0.99000001,0.98148149,0.92982459,0.95495498,0.15931069
6,0.99400002,1.00000000,0.94736844,0.97297299,0.16335957
7,0.99000001,0.98148149,0.92982459,0.95495498,0.16139916
8,0.99000001,0.98148149,0.92982459,0.95495498,0.16141146
9,0.99400002,0.98214287,0.96491230,0.97345138,0.16151527
10,0.99400002,0.98214287,0.96491230,0.97345138,0.16343690
11,0.99000001,0.96428573,0.94736844,0.95575219,0.16273637
12,0.99400002,1.00000000,0.94736844,0.97297299,0.16215465
13,0.99599999,1.00000000,0.96491230,0.98214287,0.17015593
14,0.99199998,1.00000000,0.92982459,0.96363640,0.16644583
15,0.99400002,0.98214287,0.96491230,0.97345138,0.17042495
16,0.99000001,0.98148149,0.92982459,0.95495498,0.16485590
17,0.99400002,1.00000000,0.94736844,0.97297299,0.16478482
18,0.99199998,0.98181820,0.94736844,0.96428579,0.16455414
19,0.99400002,0.98214287,0.96491230,0.97345138,0.16929567
20,0.99400002,1.00000000,0.94736844,0.97297299,0.18895226
21,0.99599999,1.00000000,0.96491230,0.98214287,0.17328955
22,0.99199998,0.98181820,0.94736844,0.96428579,0.16922674
23,0.99400002,0.98214287,0.96491230,0.97345138,0.16745397
24,0.99199998,1.00000000,0.92982459,0.96363640,0.16548028
25,0.99199998,0.96491230,0.96491230,0.96491230,0.16564829
26,0.99400002,0.98214287,0.96491230,0.97345138,0.16452316
27,0.99199998,1.00000000,0.92982459,0.96363640,0.16312301
28,0.99000001,0.98148149,0.92982459,0.95495498,0.16178800
29,0.99400002,1.00000000,0.94736844,0.97297299,0.16080790
30,0.99199998,0.98181820,0.94736844,0.96428579,0.16263187
Average,.992800,.986208,.950292,.967811,.165140
