Run,Accuracy,Precision,Recall,F1,Treinamento
1,0.99000001,0.98148149,0.92982459,0.95495498,0.16472260
2,0.99199998,1.00000000,0.92982459,0.96363640,0.15846184
3,0.99000001,0.98148149,0.92982459,0.95495498,0.15778880
4,0.99199998,1.00000000,0.92982459,0.96363640,0.16053866
5,0.99199998,0.98181820,0.94736844,0.96428579,0.15659056
6,0.98799998,0.98113209,0.91228068,0.94545454,0.15763346
7,0.99599999,1.00000000,0.96491230,0.98214287,0.16359030
8,0.98600000,0.96296299,0.91228068,0.93693691,0.16078024
9,0.99199998,1.00000000,0.92982459,0.96363640,0.15792308
10,0.99400002,1.00000000,0.94736844,0.97297299,0.16195962
11,0.99000001,0.98148149,0.92982459,0.95495498,0.16004197
12,0.99199998,0.98181820,0.94736844,0.96428579,0.15999691
13,0.99199998,0.98181820,0.94736844,0.96428579,0.16030058
14,0.98799998,0.96363634,0.92982459,0.94642854,0.16063647
15,0.99599999,1.00000000,0.96491230,0.98214287,0.15825281
16,0.98799998,0.98113209,0.91228068,0.94545454,0.15812951
17,0.99199998,0.98181820,0.94736844,0.96428579,0.15770285
18,0.99199998,0.98181820,0.94736844,0.96428579,0.15721878
19,0.99000001,0.98148149,0.92982459,0.95495498,0.16388737
20,0.99000001,0.98148149,0.92982459,0.95495498,0.15930319
21,0.99199998,0.98181820,0.94736844,0.96428579,0.15935720
22,0.99199998,0.98181820,0.94736844,0.96428579,0.16358525
23,0.99199998,0.98181820,0.94736844,0.96428579,0.16107999
24,0.99400002,0.98214287,0.96491230,0.97345138,0.15957783
25,0.98799998,1.00000000,0.89473683,0.94444448,0.15639695
26,0.99000001,1.00000000,0.91228068,0.95412844,0.16221683
27,0.99000001,0.98148149,0.92982459,0.95495498,0.18695825
28,0.99400002,1.00000000,0.94736844,0.97297299,0.17688316
29,0.99400002,1.00000000,0.94736844,0.97297299,0.16310463
30,0.99599999,0.98245615,0.98245615,0.98245615,0.16277774
Average,.991466,.986563,.938011,.961562,.161579
