Run,TS,TC,TT
1,0.001037,0.003537,1.06681331
2,0.001040,0.002494,1.46383414
3,0.001027,0.003000,1.43634579
4,0.001009,0.002775,0.66593586
5,0.001028,0.004118,1.44087357
6,0.001009,0.002426,1.44080557
7,0.000547,0.001445,1.43489041
8,0.001012,0.002671,1.42033613
9,0.000597,0.001432,1.43785038
10,0.000545,0.001527,1.45527917
11,0.001029,0.003647,1.43381989
12,0.001022,0.004737,1.05591711
13,0.001050,0.003466,1.44724047
14,0.001023,0.003630,0.67736261
15,0.000561,0.001678,0.66845622
16,0.001044,0.002706,0.66811550
17,0.000565,0.001625,1.44654956
18,0.000549,0.001458,1.48491452
19,0.000550,0.001433,1.44539362
20,0.000546,0.001742,1.06930937
21,0.001095,0.003551,1.44462514
22,0.001183,0.002517,0.66637010
23,0.001027,0.004304,0.66710264
24,0.001024,0.004133,1.45506823
25,0.001037,0.004200,1.46678239
26,0.001027,0.004292,1.55936482
27,0.000543,0.001461,0.66901681
28,0.000535,0.001342,1.46559375
29,0.000542,0.001377,1.44521388
30,0.001016,0.002451,1.45061870
Average,.00086063,.00270583,1.23165998
