Run,Accuracy,Precision,Recall,F1,Treinamento
1,0.97799999,0.95999998,0.84210527,0.89719623,0.16861744
2,0.97200000,0.93877554,0.80701756,0.86792457,0.16510727
3,0.97200000,0.93877554,0.80701756,0.86792457,0.16631003
4,0.98400003,0.96226418,0.89473683,0.92727268,0.16249002
5,0.96399999,0.88235295,0.78947371,0.83333343,0.16418539
6,0.97000003,0.93750000,0.78947371,0.85714287,0.16442825
7,0.98400003,0.96226418,0.89473683,0.92727268,0.17703715
8,0.97200000,0.93877554,0.80701756,0.86792457,0.17352921
9,0.98000002,0.94339621,0.87719297,0.90909088,0.16970520
10,0.98400003,0.98039216,0.87719297,0.92592585,0.16981981
11,0.98400003,0.96226418,0.89473683,0.92727268,0.16522928
12,0.97399998,0.95833331,0.80701756,0.87619054,0.16394506
13,0.97200000,0.90566039,0.84210527,0.87272727,0.16257855
14,0.98000002,0.97959185,0.84210527,0.90566039,0.15959515
15,0.97200000,0.93877554,0.80701756,0.86792457,0.16034042
16,0.96600002,0.91666669,0.77192980,0.83809525,0.16174501
17,0.96799999,0.91836733,0.78947371,0.84905660,0.15966159
18,0.97399998,0.92307693,0.84210527,0.88073391,0.15929631
19,0.95599997,0.85714287,0.73684210,0.79245281,0.15984375
20,0.97799999,0.95999998,0.84210527,0.89719623,0.15988225
21,0.97399998,0.94000000,0.82456142,0.87850463,0.15910825
22,0.98600000,0.96296299,0.91228068,0.93693691,0.15960371
23,0.98000002,0.97959185,0.84210527,0.90566039,0.16182773
24,0.97399998,0.94000000,0.82456142,0.87850463,0.16095801
25,0.97399998,0.92307693,0.84210527,0.88073391,0.15919881
26,0.97200000,0.92156863,0.82456142,0.87037045,0.16068980
27,0.97000003,0.90384614,0.82456142,0.86238527,0.15993300
28,0.98199999,0.96153843,0.87719297,0.91743118,0.16377478
29,0.97399998,0.92307693,0.84210527,0.88073391,0.16154128
30,0.97200000,0.95744681,0.78947371,0.86538464,0.15976669
Average,.974733,.939249,.832163,.882165,.163324
