Run,Accuracy,Precision,Recall,F1,Tempo de Treinamento
1,0.99000001,1.00000000,0.91228068,0.95412844,0.42595781
2,0.99599999,0.98245615,0.98245615,0.98245615,0.48184783
3,0.99400002,1.00000000,0.94736844,0.97297299,0.47095048
4,0.99199998,1.00000000,0.92982459,0.96363640,0.49069472
5,0.99400002,1.00000000,0.94736844,0.97297299,0.43903662
6,0.99599999,0.98245615,0.98245615,0.98245615,0.41498383
7,0.99400002,0.98214287,0.96491230,0.97345138,0.41959424
8,0.99400002,0.98214287,0.96491230,0.97345138,0.42105537
9,0.99400002,0.98214287,0.96491230,0.97345138,0.42414029
10,0.99400002,0.98214287,0.96491230,0.97345138,0.43250195
11,0.99400002,0.98214287,0.96491230,0.97345138,0.44358964
12,0.99000001,0.98148149,0.92982459,0.95495498,0.41858570
13,0.99199998,1.00000000,0.92982459,0.96363640,0.41343614
14,0.99199998,1.00000000,0.92982459,0.96363640,0.42316018
15,0.99199998,0.98181820,0.94736844,0.96428579,0.41798638
16,0.99199998,0.98181820,0.94736844,0.96428579,0.41097851
17,0.99400002,1.00000000,0.94736844,0.97297299,0.41498753
18,0.99000001,0.98148149,0.92982459,0.95495498,0.40917143
19,0.99199998,1.00000000,0.92982459,0.96363640,0.45012041
20,0.99000001,0.98148149,0.92982459,0.95495498,0.40754130
21,0.99199998,1.00000000,0.92982459,0.96363640,0.41484677
22,0.99199998,0.98181820,0.94736844,0.96428579,0.41136459
23,0.99199998,1.00000000,0.92982459,0.96363640,0.42319987
24,0.99199998,0.98181820,0.94736844,0.96428579,0.43395883
25,0.99400002,0.98214287,0.96491230,0.97345138,0.42119763
26,0.99400002,0.98214287,0.96491230,0.97345138,0.42517045
27,0.99000001,0.98148149,0.92982459,0.95495498,0.40829155
28,0.99000001,1.00000000,0.91228068,0.95412844,0.42639980
29,0.99199998,1.00000000,0.92982459,0.96363640,0.41031812
30,0.99199998,0.98181820,0.94736844,0.96428579,0.41414901
Average,.992533,.989164,.945029,.966431,.427307
