Run,Accuracy,Precision,Recall,F1
1,0.9920,0.9818,0.9474,0.9643
2,0.9920,0.9818,0.9474,0.9643
3,0.9920,1.0000,0.9298,0.9636
4,0.9920,1.0000,0.9298,0.9636
5,0.9880,0.9811,0.9123,0.9455
6,0.9880,0.9811,0.9123,0.9455
7,0.9920,0.9818,0.9474,0.9643
8,0.9920,0.9818,0.9474,0.9643
9,0.9940,1.0000,0.9474,0.9730
10,0.9940,1.0000,0.9474,0.9730
11,0.9940,1.0000,0.9474,0.9730
12,0.9960,1.0000,0.9649,0.9821
13,0.9960,1.0000,0.9649,0.9821
14,0.9900,0.9815,0.9298,0.9550
15,0.9900,0.9815,0.9298,0.9550
16,0.9900,0.9815,0.9298,0.9550
17,0.9900,0.9815,0.9298,0.9550
18,0.9900,0.9815,0.9298,0.9550
19,0.9900,0.9815,0.9298,0.9550
20,0.9880,0.9811,0.9123,0.9455
21,0.9880,0.9811,0.9123,0.9455
22,0.9880,0.9811,0.9123,0.9455
23,0.9880,0.9811,0.9123,0.9455
24,0.9960,1.0000,0.9649,0.9821
25,0.9960,1.0000,0.9649,0.9821
26,0.9920,1.0000,0.9298,0.9636
27,0.9860,0.9808,0.8947,0.9358
28,0.9860,0.9808,0.8947,0.9358
29,0.9900,0.9815,0.9298,0.9550
30,0.9900,0.9815,0.9298,0.9550
Average,.991000,.987580,.932746,.959333
