Run,Accuracy,Precision,Recall,F1,Tempo de Treinamento
1,0.99000001,0.98148149,0.92982459,0.95495498,0.41187462
2,0.99599999,1.00000000,0.96491230,0.98214287,0.40390691
3,0.99000001,0.98148149,0.92982459,0.95495498,0.52315631
4,0.98799998,0.98113209,0.91228068,0.94545454,0.46266466
5,0.99400002,0.98214287,0.96491230,0.97345138,0.42723115
6,0.99199998,1.00000000,0.92982459,0.96363640,0.44705436
7,0.99599999,1.00000000,0.96491230,0.98214287,0.47264493
8,0.99599999,1.00000000,0.96491230,0.98214287,0.55412334
9,0.98799998,1.00000000,0.89473683,0.94444448,0.46142584
10,0.99199998,1.00000000,0.92982459,0.96363640,0.41502782
11,0.99199998,1.00000000,0.92982459,0.96363640,0.42765222
12,0.99000001,0.98148149,0.92982459,0.95495498,0.41163982
13,0.99000001,0.98148149,0.92982459,0.95495498,0.41555065
14,0.99400002,1.00000000,0.94736844,0.97297299,0.50830315
15,0.99199998,1.00000000,0.92982459,0.96363640,0.40989654
16,0.99000001,0.98148149,0.92982459,0.95495498,0.43196297
17,0.99000001,0.98148149,0.92982459,0.95495498,0.41051055
18,0.99400002,1.00000000,0.94736844,0.97297299,0.40769519
19,0.98799998,0.94736844,0.94736844,0.94736844,0.42232861
20,0.99400002,0.98214287,0.96491230,0.97345138,0.43465289
21,0.99000001,0.98148149,0.92982459,0.95495498,0.43864632
22,0.99400002,1.00000000,0.94736844,0.97297299,0.41768875
23,0.99400002,1.00000000,0.94736844,0.97297299,0.41893198
24,0.99599999,1.00000000,0.96491230,0.98214287,0.41198042
25,0.99000001,0.98148149,0.92982459,0.95495498,0.42772440
26,0.99400002,1.00000000,0.94736844,0.97297299,0.41425097
27,0.99199998,1.00000000,0.92982459,0.96363640,0.41638790
28,0.99400002,0.98214287,0.96491230,0.97345138,0.41181044
29,0.99599999,0.98245615,0.98245615,0.98245615,0.42577120
30,0.99000001,0.98148149,0.92982459,0.95495498,0.42402149
Average,.992200,.989690,.941520,.964876,.435550
